,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,134,3,7,0
F1_L6换热能力下降,3,140,1,0
F2_L6汽侧供汽不足,6,1,137,0
F3_L6水位过高,0,1,0,143
