,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,3,2,1
F1_L6换热能力下降,92,42,8,2
F2_L6汽侧供汽不足,112,7,25,0
F3_L6水位过高,86,4,0,54
