stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9450126172287383,21,0.20071087777614594,0.9427083333333334,0.9431761552350444,0.9427083333333334,0.9427815333989957
final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9450126172287383,21,0.20071087777614594,0.8958333333333334,0.9080049054943589,0.8958333333333333,0.8972956620561723
final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9450126172287383,21,0.20071087777614594,0.4739583333333333,0.7096333698270807,0.47395833333333326,0.470549639544796
