,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,131,7,4,2
F1_H1换热能力下降,12,132,0,0
F2_H1汽侧泄漏,31,1,112,0
F3_H1水位过高,2,1,0,141
