,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,131,7,4,2
F1_H1换热能力下降,85,55,4,0
F2_H1汽侧泄漏,100,5,39,0
F3_H1水位过高,87,9,0,48
