,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,135,6,3,0
F1_H1换热能力下降,95,43,6,0
F2_H1汽侧泄漏,95,4,45,0
F3_H1水位过高,90,2,0,52
