,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,131,7,4,2
F1_H1换热能力下降,8,135,1,0
F2_H1汽侧泄漏,9,2,133,0
F3_H1水位过高,0,0,0,144
