,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,136,7,1,0
F1_H1换热能力下降,9,135,0,0
F2_H1汽侧泄漏,7,1,136,0
F3_H1水位过高,1,0,0,143
