,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,140,3,0,1
F1_CND1真空恶化,126,10,0,8
F2_CND1循环水不足,106,2,18,18
F3_CND1热井液位过高,122,3,0,19
