stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.982638888888889,36,0.03195401281118393,0.9774305555555556,0.9779641123518819,0.9774305555555556,0.977503390555761
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.982638888888889,36,0.03195401281118393,0.7829861111111112,0.8482374315588779,0.7829861111111112,0.7898538081431544
final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.982638888888889,36,0.03195401281118393,0.3246527777777778,0.5629999608832561,0.3246527777777778,0.24613762142497775
