,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,4,0,2
F1_CND1真空恶化,15,125,3,1
F2_CND1循环水不足,13,11,120,0
F3_CND1热井液位过高,27,3,0,114
