,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,135,3,0,6
F1_CND1真空恶化,0,143,1,0
F2_CND1循环水不足,0,5,139,0
F3_CND1热井液位过高,2,1,0,141
