,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,4,0,2
F1_CND1真空恶化,115,20,0,9
F2_CND1循环水不足,104,6,19,15
F3_CND1热井液位过高,121,4,0,19
