,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,137,2,5,0
F1_L6换热能力下降,95,34,15,0
F2_L6汽侧供汽不足,106,1,37,0
F3_L6水位过高,99,5,0,40
