,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,137,3,4,0
F1_L6换热能力下降,99,36,8,1
F2_L6汽侧供汽不足,108,5,31,0
F3_L6水位过高,97,6,0,41
