,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,137,3,4,0
F1_L6换热能力下降,10,134,0,0
F2_L6汽侧供汽不足,7,2,135,0
F3_L6水位过高,1,2,0,141
