epoch,train_loss,val_loss,lr
1,1.0750596396772663,1.4141147136688232,0.001
2,0.9911202054934848,1.3420567512512207,0.001
3,0.9209132804954223,1.2767970561981201,0.001
4,0.8611405924305343,1.216049313545227,0.001
5,0.8109406045101629,1.1574934720993042,0.001
6,0.7655781159447635,1.1002830266952515,0.001
7,0.7242903640861529,1.045026183128357,0.001
8,0.6846482581496103,0.9925878047943115,0.001
9,0.6461039817135037,0.9418302774429321,0.001
10,0.6111767715404366,0.8930162191390991,0.001
11,0.5781894408877362,0.8472418189048767,0.001
12,0.5476872763121163,0.8050532341003418,0.001
13,0.5191984584271243,0.766269326210022,0.001
14,0.4923071809141871,0.7301970720291138,0.001
15,0.46690982273406306,0.6961387395858765,0.001
16,0.44452995847824955,0.6641216278076172,0.001
17,0.4224516791801631,0.6339303851127625,0.001
18,0.4017861839769859,0.6057469844818115,0.001
19,0.3837439301439636,0.5795356035232544,0.001
20,0.36520664206916176,0.5551887154579163,0.001
21,0.3495869578777101,0.5326637625694275,0.001
22,0.3351353213947798,0.5118684768676758,0.001
23,0.32060743781814977,0.4928361773490906,0.001
24,0.3098833063378526,0.47524771094322205,0.001
25,0.2983120450517958,0.45887044072151184,0.001
26,0.28866512900711705,0.44355127215385437,0.001
27,0.27788582807302853,0.42936715483665466,0.001
28,0.26809091590797945,0.4159247875213623,0.001
29,0.26138081948799524,0.4037817120552063,0.001
30,0.25350521308052,0.39211490750312805,0.001
31,0.2465192044522436,0.38123631477355957,0.001
32,0.23939182374993753,0.37106943130493164,0.001
33,0.2331497494722656,0.3610880374908447,0.001
34,0.22816283266844606,0.3519674241542816,0.001
35,0.22282679900577904,0.34263041615486145,0.001
36,0.2170869766973575,0.3349326550960541,0.001
37,0.21254224722992449,0.3273050785064697,0.001
38,0.20887516342244314,0.32008177042007446,0.001
39,0.20473671990099543,0.31329914927482605,0.001
40,0.20060431405450566,0.30720657110214233,0.001
41,0.19707092912233493,0.30124330520629883,0.001
42,0.1938260914327289,0.29505404829978943,0.001
43,0.19076673566032668,0.28898417949676514,0.001
44,0.1883434481839063,0.28393426537513733,0.001
45,0.18483456966206957,0.27859175205230713,0.001
46,0.182404012974344,0.2739609479904175,0.001
47,0.17954294528431242,0.268987774848938,0.001
48,0.17746149549191592,0.26504644751548767,0.001
49,0.17581326338865305,0.26073694229125977,0.001
50,0.17258057949130884,0.25577378273010254,0.001
51,0.17055802719858018,0.2519362270832062,0.001
52,0.16924213216071846,0.2486635446548462,0.001
53,0.16771007534366783,0.24617987871170044,0.001
54,0.16534767710342682,0.24068677425384521,0.001
55,0.16424466308483743,0.23875263333320618,0.001
