epoch,full_train_loss,lr
1,1.0680007695505613,0.001
2,0.9726781471754395,0.001
3,0.8947784494450759,0.001
4,0.83032039268773,0.001
5,0.7747293136814883,0.001
6,0.7235546451219677,0.001
7,0.6756465872367706,0.001
8,0.630954960821832,0.001
9,0.5887852337060615,0.001
10,0.5501253357055433,0.001
11,0.5145303398490872,0.001
12,0.4818432135531855,0.001
13,0.4527956380266354,0.001
14,0.4244595365296141,0.001
15,0.40174210577126107,0.001
16,0.37843895689046975,0.001
17,0.3581085158695881,0.001
18,0.34043296487668406,0.001
19,0.3240566684703419,0.001
20,0.31005333004605157,0.001
21,0.296278673215222,0.001
22,0.2837968410094411,0.001
23,0.2724758029331563,0.001
24,0.26280395039385773,0.001
25,0.25315677116509355,0.001
26,0.24468186920720963,0.001
27,0.23792651600736825,0.001
28,0.23027690218751426,0.001
29,0.22429109928865085,0.001
30,0.218018397574505,0.001
31,0.21181438290965068,0.001
32,0.20743421289256822,0.001
33,0.20237099051404941,0.001
34,0.1979511717647821,0.001
35,0.19316846937384338,0.001
36,0.18908253061976632,0.001
37,0.18588487936825138,0.001
38,0.18362536555524434,0.001
39,0.17946901316334468,0.001
40,0.17614260358653075,0.001
41,0.1727963360702844,0.001
42,0.17112711471449915,0.001
43,0.16928564693226208,0.001
44,0.16720307883190713,0.001
45,0.16535616693175598,0.001
46,0.162448409847125,0.001
47,0.1605345304029782,0.001
48,0.15815425391264912,0.001
49,0.1560286276431186,0.001
50,0.15539464050695767,0.001
51,0.15323798341065722,0.001
52,0.15152626425331225,0.001
53,0.15028594231602,0.001
54,0.14861212524373904,0.001
55,0.1464506195784864,0.001
56,0.1453560456643409,0.001
57,0.14290974060508413,0.001
58,0.1422889261761837,0.001
59,0.1411380366928736,0.001
60,0.14033059921749455,0.001
61,0.1380169069878169,0.001
62,0.1367266960392012,0.001
63,0.13544645095637908,0.001
64,0.13394529440815578,0.001
65,0.13439518789045823,0.001
66,0.1323674062916333,0.001
67,0.12999643749396222,0.001
68,0.12955708776668465,0.001
69,0.12947979765341391,0.001
70,0.12812955676457324,0.001
71,0.1269507395609925,0.001
72,0.12618518238639254,0.001
73,0.12653129880498384,0.001
74,0.12590845875663115,0.001
75,0.12332380685406982,0.001
76,0.12337252932464153,0.001
77,0.12194407113390704,0.001
78,0.12169967459195791,0.001
79,0.12142595515350439,0.001
80,0.12056700522124392,0.001
81,0.11995885485287303,0.001
82,0.1197536539116955,0.001
83,0.11895234792361085,0.001
84,0.11806731734621058,0.001
85,0.1175004258210268,0.001
86,0.11766688344430339,0.001
87,0.1159120001412443,0.001
88,0.11634559184567332,0.001
89,0.11578220419665622,0.001
90,0.11454608183135175,0.001
91,0.11511136507377691,0.001
92,0.11385736933267286,0.001
93,0.1138099512318918,0.001
94,0.11371452464337763,0.001
95,0.1128346465307604,0.001
96,0.11277784133063472,0.001
97,0.11280617863754272,0.001
98,0.1121155755920869,0.001
99,0.11184226831321614,0.001
100,0.11112585237946204,0.001
101,0.11061613757828156,0.001
102,0.10966182917964605,0.001
103,0.10888300550201568,0.001
104,0.1099341152632183,0.001
105,0.10922570949208367,0.001
106,0.10970331621919734,0.001
107,0.10775177059890886,0.001
108,0.1080761601666665,0.001
109,0.10799328742112717,0.001
110,0.10796327097382777,0.001
111,0.1071739865977291,0.001
112,0.10672896352760593,0.001
113,0.10686960891057146,0.001
114,0.10745558098444852,0.001
115,0.10704320068135921,0.001
116,0.10641418888430912,0.001
117,0.10511832262637151,0.001
118,0.10468533920583016,0.001
119,0.10578127988929079,0.001
120,0.10460832319370325,0.001
121,0.10400724281566003,0.001
122,0.10398295987543776,0.001
123,0.10409777816766375,0.001
124,0.10282763617665057,0.001
125,0.10338867128673143,0.001
126,0.10309381374550952,0.001
127,0.10262510486362665,0.001
128,0.10248498554889947,0.001
129,0.1024336521451935,0.001
130,0.1030445727371968,0.001
131,0.10229563620787725,0.001
132,0.10134253199501442,0.001
133,0.10076355017085882,0.001
134,0.10108577723996363,0.001
135,0.1007665052062524,0.001
136,0.10018614570100925,0.001
137,0.10032393866369659,0.001
138,0.09987011526931798,0.001
139,0.09943768440372636,0.001
140,0.09975518890167889,0.001
141,0.09979431995857861,0.0005
142,0.09884729680860868,0.0005
143,0.09885514088967452,0.0005
144,0.0991904021219922,0.0005
145,0.09893959278790079,0.0005
146,0.09868086140252194,0.0005
147,0.09834541899847193,0.0005
148,0.09878903690853924,0.0005
149,0.09810664970624998,0.0005
150,0.0983386088810563,0.0005
151,0.09808727602316658,0.0005
152,0.09807534072056859,0.0005
153,0.09790873762084998,0.0005
154,0.09831370142672416,0.0005
155,0.09749977237539163,0.0005
156,0.09746318239032258,0.0005
157,0.09725374771165299,0.0005
158,0.0977054477384097,0.0005
159,0.09720458619316742,0.0005
160,0.09771969819961533,0.0005
161,0.09726872038219968,0.0005
162,0.09704787987097614,0.0005
163,0.09740773513711241,0.0005
164,0.09624937138340983,0.0005
165,0.09651206445429684,0.0005
166,0.09631376793583764,0.0005
167,0.09607847805677974,0.0005
168,0.09570459284395497,0.0005
169,0.09593415269782783,0.0005
170,0.09641194035709331,0.0005
171,0.09612563072729718,0.0005
172,0.09631792574819584,0.0005
173,0.09557839876769526,0.0005
174,0.09640317804893715,0.0005
175,0.09585611858051592,0.0005
