protocol,split,target_tag,name_cn,group,rows,min,max,mean,std
month_expanded_2024,test,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,42710,385.003,424.308,410.5895433387965,4.119602904956707
month_expanded_2024,test,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,42710,385.383,425.552,411.55255855771486,4.108405562548445
month_expanded_2024,test,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,42710,3.198,11.082,6.169122758136268,1.5071419740927174
month_expanded_2024,test,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,42710,3.215,11.15,6.2067838679466165,1.5179214552382652
month_expanded_2024,test,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,42710,384.833,429.049,412.7752517209085,4.265191002243403
month_expanded_2024,test,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,42710,387.493,432.557,415.5458140014048,4.230776941545518
month_expanded_2024,test,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,42710,3.172,10.999,6.129369070475299,1.4973705185438608
month_expanded_2024,test,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,42710,387.909,431.959,415.2927400140482,4.1836900734852565
month_expanded_2024,test,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,42710,384.822,428.316,412.1997159447436,4.160457038593224
month_expanded_2024,test,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,Y2_一级抽汽接口,42710,384.732,428.516,412.19341472723016,4.161628812215372
month_expanded_2024,test,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,Y2_一级抽汽接口,42710,384.676,427.739,412.0073088972138,4.154134431961007
month_expanded_2024,test,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,Y2_一级抽汽接口,42710,384.151,427.794,411.6325874268321,4.165073365617363
month_expanded_2024,test,SYG1_10LBQ10CP102,1号高加入口抽汽压力,Y2_一级抽汽接口,42710,3.225,10.79,6.127478272067431,1.4615056776266298
month_expanded_2024,test,SYG1_10LBQ10CT106,1号高加入口抽汽温度,Y2_一级抽汽接口,42710,385.112,427.306,412.2642680636853,4.163894832353366
month_expanded_2024,test,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,Y3_VHP至RH1接口,42710,386.968,430.304,414.0647347225474,4.106296102333295
month_expanded_2024,test,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,Y3_VHP至RH1接口,42710,386.096,429.582,413.1585565909623,4.118702657348175
month_expanded_2024,test,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,Y3_VHP至RH1接口,42710,388.7,431.159,415.82624392413953,4.049475422894607
month_expanded_2024,test,SYG1_10MAA50CT111A,超高压内缸壁温90%处#1,Y4_VHP缸体与内部蒸汽,42710,541.833,585.242,572.2604383282603,5.122342910874176
month_expanded_2024,test,SYG1_10MAA50CT112A,超高压内缸壁温90%处#2,Y4_VHP缸体与内部蒸汽,42710,547.997,600.552,582.3390999297587,5.701622364493992
month_expanded_2024,test,SYG1_10MAA50CT131A,超高压缸蒸汽温度100%,Y4_VHP缸体与内部蒸汽,42710,498.652,538.113,523.5815835401545,4.4689029569376
month_expanded_2024,test,SYG1_10MAA50CT132A,超高压缸蒸汽温度50%,Y4_VHP缸体与内部蒸汽,42710,505.673,530.012,523.1374762116601,3.9849499928246663
month_expanded_2024,test,SYG1_10MAA50CT151A,超高压缸中部上半汽缸温度50%,Y4_VHP缸体与内部蒸汽,42710,503.039,527.38,520.0860815499882,3.908410553087516
month_expanded_2024,test,SYG1_10MAA50CT152A,超高压缸中部下半汽缸温度50%,Y4_VHP缸体与内部蒸汽,42710,502.609,528.239,519.9229858346991,3.599285261134385
month_expanded_2024,test,SYG1_10MAL41CT101A,#1抽汽逆止门前疏水阀后温度,Y5_疏水热状态,42710,28.059,37.437,30.666751135565445,1.6098879730393751
month_expanded_2024,test,SYG1_10MAL67CT101A,超高压冷再热逆止阀前疏水阀后温度,Y5_疏水热状态,42710,31.009,60.314,34.55153903067197,3.320035370638497
month_expanded_2025,train,SYG1_10MAA50CP101,超高压缸叶片级压力#1,Y1_VHP本体,43521,6.738739,24.039917,17.29904496945842,4.087807941710599
month_expanded_2025,train,SYG1_10MAA50CP102,超高压缸叶片级压力#2,Y1_VHP本体,43521,6.7433167,24.042206,17.300904684929115,4.086448610704499
month_expanded_2025,train,SYG1_10MAA50CP103,超高压缸叶片级压力#3,Y1_VHP本体,43521,6.7410274,24.037626,17.30100618929482,4.086133932968798
month_expanded_2025,train,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,Y1_VHP本体,43521,387.56256,438.49335,417.47171380643823,5.000104643844164
month_expanded_2025,train,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,43521,385.83032,437.06284,415.6295509232325,4.947795748550429
month_expanded_2025,train,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,43521,385.00305,436.242,414.9807395241378,4.9724905651231275
month_expanded_2025,train,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,43521,3.2663724,11.429443,8.409636042216402,2.000009774133499
month_expanded_2025,train,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,43521,3.2972715,11.532439,8.486608722315664,2.017342074261628
month_expanded_2025,train,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,43521,382.17133,441.98453,416.1516936083729,5.851974603734237
month_expanded_2025,train,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,43521,385.5595,444.4781,418.9599840233451,5.84714620813879
month_expanded_2025,train,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,43521,3.2530513,11.345398,8.361331013444085,1.984717302760294
month_expanded_2025,train,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,43521,385.685,443.5484,418.32262343742104,5.711814848972893
month_expanded_2025,train,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,43521,383.3345,439.82278,415.23935666781546,5.6224183924218805
month_expanded_2025,train,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,Y2_一级抽汽接口,43521,384.16205,440.4991,415.9834606226879,5.653606768395131
month_expanded_2025,train,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,Y2_一级抽汽接口,43521,384.49744,440.54346,416.04805092461106,5.540161356014494
month_expanded_2025,train,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,Y2_一级抽汽接口,43521,383.87134,439.77847,415.4996695569955,5.582251735146198
month_expanded_2025,train,SYG1_10LBQ10CP102,1号高加入口抽汽压力,Y2_一级抽汽接口,43521,3.31073,11.163208,8.310788843686955,1.926819370417508
month_expanded_2025,train,SYG1_10LBQ10CT106,1号高加入口抽汽温度,Y2_一级抽汽接口,43521,383.47986,438.81375,414.69843155488155,5.422578051800528
month_expanded_2025,train,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,Y3_VHP至RH1接口,43521,385.7608,442.22842,417.4479913170654,5.6944115394389385
month_expanded_2025,train,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,Y3_VHP至RH1接口,43521,384.59814,441.3638,416.55053228832054,5.726983338704302
month_expanded_2025,train,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,Y3_VHP至RH1接口,43521,388.21948,443.36987,419.1831578477058,5.615137197947631
month_expanded_2025,train,SYG1_10MAA50CT111A,超高压内缸壁温90%处#1,Y4_VHP缸体与内部蒸汽,43521,542.21844,595.8546,577.902963054847,4.5312825793300116
month_expanded_2025,train,SYG1_10MAA50CT112A,超高压内缸壁温90%处#2,Y4_VHP缸体与内部蒸汽,43521,546.23584,606.1877,585.4299721968705,4.883105590415096
month_expanded_2025,train,SYG1_10MAA50CT131A,超高压缸蒸汽温度100%,Y4_VHP缸体与内部蒸汽,43521,500.14062,545.94965,528.4068162133223,5.457420162425414
month_expanded_2025,train,SYG1_10MAA50CT132A,超高压缸蒸汽温度50%,Y4_VHP缸体与内部蒸汽,43521,510.45465,540.4134,527.8171305059626,4.709469117648561
month_expanded_2025,train,SYG1_10MAA50CT151A,超高压缸中部上半汽缸温度50%,Y4_VHP缸体与内部蒸汽,43521,507.535,537.0673,524.5799550656005,4.808195806928586
month_expanded_2025,train,SYG1_10MAA50CT152A,超高压缸中部下半汽缸温度50%,Y4_VHP缸体与内部蒸汽,43521,507.8215,537.21045,524.8000649263573,4.585146062178106
month_expanded_2025,train,SYG1_10MAL41CT101A,#1抽汽逆止门前疏水阀后温度,Y5_疏水热状态,43521,28.13944,38.89688,33.70325478628708,1.703566844241617
month_expanded_2025,train,SYG1_10MAL67CT101A,超高压冷再热逆止阀前疏水阀后温度,Y5_疏水热状态,43521,25.329216,36.579197,30.95542663720962,1.7181488659909872
month_expanded_2025,test,SYG1_10MAA50CP101,超高压缸叶片级压力#1,Y1_VHP本体,40603,6.7364497,23.941496,16.62550844841514,4.785705355261763
month_expanded_2025,test,SYG1_10MAA50CP102,超高压缸叶片级压力#2,Y1_VHP本体,40603,6.738739,23.934631,16.627776806524146,4.784495549061997
month_expanded_2025,test,SYG1_10MAA50CP103,超高压缸叶片级压力#3,Y1_VHP本体,40603,6.734161,23.927765,16.626791512144422,4.784029509438535
month_expanded_2025,test,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,Y1_VHP本体,40603,383.77295,439.0256,416.52627613156665,6.044764400723455
month_expanded_2025,test,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,40603,381.70404,437.3069,414.6835951754796,5.961805445315113
month_expanded_2025,test,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,40603,381.21173,436.91864,413.9910791476,6.010354879702384
month_expanded_2025,test,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,40603,3.2251737,11.4660635,8.02369671227003,2.3269759464488766
month_expanded_2025,test,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,40603,3.2572174,11.574783,8.101920590658326,2.348125682380102
month_expanded_2025,test,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,40603,383.4686,442.47235,415.21822010294807,6.9262976612975855
