,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,4,2,3
F1_BFPT进汽不足,12,130,2,0
F2_BFPT排汽真空恶化,26,1,117,0
F3_BFPT调速异常,17,0,0,127
