stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.982662419632026,33,0.07551943510770798,0.9583333333333334,0.9599120305414514,0.9583333333333334,0.9585618448893959
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.982662419632026,33,0.07551943510770798,0.8420138888888888,0.8884540185824568,0.8420138888888888,0.8492011711892973
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.982662419632026,33,0.07551943510770798,0.3576388888888889,0.7299967888870729,0.3576388888888889,0.30449122629241193
