,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,139,3,1,1
F1_BFPT进汽不足,22,120,2,0
F2_BFPT排汽真空恶化,21,1,121,1
F3_BFPT调速异常,39,0,0,105
