stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9754891861195067,11,0.07701082527637482,0.9565972222222222,0.9565923780319383,0.9565972222222222,0.9562842679311934
final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9754891861195067,11,0.07701082527637482,0.8854166666666666,0.8994562552691576,0.8854166666666667,0.8880621869675602
final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9754891861195067,11,0.07701082527637482,0.4253472222222222,0.691659478000511,0.42534722222222227,0.41409065245778726
