,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,4,2,3
F1_BFPT进汽不足,2,141,1,0
F2_BFPT排汽真空恶化,1,0,143,0
F3_BFPT调速异常,7,0,0,137
