stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9825959590307717,12,0.0784766748547554,0.9652777777777778,0.9653679398070045,0.9652777777777778,0.9652575577555538
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9825959590307717,12,0.0784766748547554,0.8836805555555556,0.9043386261089611,0.8836805555555556,0.887577260576149
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9825959590307717,12,0.0784766748547554,0.4149305555555556,0.7215915873880598,0.4149305555555556,0.394148073690537
