,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,129,8,4,3
F1_BFPT进汽不足,6,137,1,0
F2_BFPT排汽真空恶化,16,2,126,0
F3_BFPT调速异常,26,0,0,118
