,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,129,8,4,3
F1_BFPT进汽不足,103,39,2,0
F2_BFPT排汽真空恶化,92,8,43,1
F3_BFPT调速异常,109,1,0,34
