,F0_normal,F1_BFPT进汽不足,F2_BFPT排汽真空恶化,F3_BFPT调速异常
F0_normal,135,4,2,3
F1_BFPT进汽不足,115,28,1,0
F2_BFPT排汽真空恶化,104,4,34,2
F3_BFPT调速异常,102,0,0,42
