task,split,algorithm,target_tag,name_cn,unit,group,r2,rmse,mae,train_actual_min,train_actual_max,actual_min,actual_max,pred_min,pred_max,samples,first_time,last_time
2024-05训练_2024-06测试,train,ANN,SYG1_10MAA50CP101,超高压缸叶片级压力#1,MPa,Y1_VHP本体,0.9945403337478638,0.3634214848395279,0.2563804090023041,6.232999801635742,23.177000045776367,6.232999801635742,23.177000045776367,6.3489274978637695,22.546306610107422,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,GRU-RNN,SYG1_10MAA50CP101,超高压缸叶片级压力#1,MPa,Y1_VHP本体,0.9989430904388428,0.15990033870794448,0.11108607798814774,6.232999801635742,23.177000045776367,6.232999801635742,23.177000045776367,6.030900001525879,22.644407272338867,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,TCN,SYG1_10MAA50CP101,超高压缸叶片级压力#1,MPa,Y1_VHP本体,0.9972248673439026,0.2591008161916211,0.19278377294540405,6.232999801635742,23.177000045776367,6.232999801635742,23.177000045776367,6.425187110900879,22.550966262817383,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,iTransformer-small,SYG1_10MAA50CP101,超高压缸叶片级压力#1,MPa,Y1_VHP本体,0.9987688064575195,0.17258040933059923,0.1282855123281479,6.232999801635742,23.177000045776367,6.232999801635742,23.177000045776367,6.313612937927246,22.87236976623535,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,ANN,SYG1_10MAA50CP102,超高压缸叶片级压力#2,MPa,Y1_VHP本体,0.9958902597427368,0.3152379022753089,0.21155014634132385,6.230999946594238,23.18600082397461,6.230999946594238,23.18600082397461,6.356359481811523,22.34044647216797,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,GRU-RNN,SYG1_10MAA50CP102,超高压缸叶片级压力#2,MPa,Y1_VHP本体,0.9988126754760742,0.16943916179731358,0.12200116366147995,6.230999946594238,23.18600082397461,6.230999946594238,23.18600082397461,5.89668083190918,22.758588790893555,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,TCN,SYG1_10MAA50CP102,超高压缸叶片级压力#2,MPa,Y1_VHP本体,0.9975366592407227,0.24405974001917427,0.1796564757823944,6.230999946594238,23.18600082397461,6.230999946594238,23.18600082397461,6.367136001586914,22.57958221435547,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,iTransformer-small,SYG1_10MAA50CP102,超高压缸叶片级压力#2,MPa,Y1_VHP本体,0.9987615346908569,0.17305227792197317,0.12899130582809448,6.230999946594238,23.18600082397461,6.230999946594238,23.18600082397461,6.418475151062012,22.87165069580078,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,ANN,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9959628582000732,0.3124460412170689,0.20843374729156494,6.25600004196167,23.163000106811523,6.256000518798828,23.163000106811523,6.404056549072266,22.412363052368164,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,GRU-RNN,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9984664916992188,0.19256712706075943,0.14251133799552917,6.25600004196167,23.163000106811523,6.256000518798828,23.163000106811523,4.791913986206055,22.683025360107422,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,TCN,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9973382353782654,0.25370077475499786,0.18951432406902313,6.25600004196167,23.163000106811523,6.256000518798828,23.163000106811523,6.290389060974121,22.607423782348633,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
2024-05训练_2024-06测试,train,iTransformer-small,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9987673163414001,0.17264797052753283,0.12735846638679504,6.25600004196167,23.163000106811523,6.256000518798828,23.163000106811523,6.327237129211426,22.811317443847656,43759,2024-05-01 00:23:00,2024-05-31 23:59:00
