device,model,graph,test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
H2,GCN-NodeAware,KG,iid,3,0.9994212962962963,0.0010023442173431288,0.9994252873563219,0.000995431498602773,0.9994212962962963,0.0010023442173431288,0.9994212893191711,0.001002356302078597
L6,GCN-NodeAware,KG,iid,3,0.9809027777777777,0.001736111111111091,0.9810837920832953,0.001712008725554387,0.9809027777777777,0.001736111111111105,0.9808983693729744,0.00168109498747115
H3,GCN-NodeAware,KG,iid,3,0.970486111111111,0.003007032652029306,0.9707255605686669,0.002912774037087794,0.970486111111111,0.003007032652029306,0.9705421152111419,0.0029695307293428506
H4,GCN-NodeAware,KG,iid,3,0.9600694444444443,0.007955860581520563,0.961354474797487,0.007288393900747239,0.9600694444444445,0.00795586058152051,0.9602374378209152,0.007947055883338766
H1,GCN-NodeAware,KG,iid,3,0.954861111111111,0.003007032652029274,0.9554192688105134,0.0031100730549350167,0.9548611111111112,0.0030070326520292502,0.9549437653493893,0.0030061502629131257
