model,accuracy_mean,accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std
AE,0.3299999999999999,0.0135054788579921,0.3240901593550189,0.3299999999999999,0.2988202537442414,0.03077663453733
CNN,0.7267857142857143,0.0169407731794735,0.7345022407603744,0.7267857142857144,0.7277562201911438,0.017188083000078
Identity-NodeAware,0.8753571428571428,0.0148547388164895,0.879440611594616,0.8753571428571428,0.8762235542053508,0.0148281699920435
Corr-NodeAware,0.8832142857142857,0.0091577724321129,0.8881036676160656,0.8832142857142857,0.8842126411391567,0.0092854482048698
KG-NodeAware,0.8782142857142856,0.0163370900164038,0.882612855782817,0.8782142857142856,0.8790681619954814,0.0162481772570082
