model,label_fraction,seed,labeled_train,accuracy,macro_precision,macro_recall,macro_f1,best_val_macro_f1,pretrain_val_mse
KG-GCN,0.05,123,84,0.8785714285714286,0.8890798923463298,0.8785714285714287,0.8799159177666471,0.8753374101572453,0.3424365520477295
CNN,0.05,123,84,0.85,0.8595106769448875,0.85,0.8507904800048172,0.8686188667136809,
KG-GCN,0.05,101,84,0.8839285714285714,0.8857491978440903,0.8839285714285714,0.8844180808494031,0.9159436765133916,0.3517684638500213
CNN,0.05,101,84,0.8625,0.8629205086634918,0.8625,0.8626944635094944,0.8760192295312874,
KG-GCN,0.05,202,84,0.8785714285714286,0.8843857649630273,0.8785714285714286,0.8792301724226738,0.8809992651027635,0.3461824357509613
CNN,0.05,202,84,0.8928571428571429,0.8979724966906423,0.8928571428571429,0.8920679480619459,0.8942353948391788,
