model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,val_f1_mean,delta_vs_cnn
CNN,0.8684523809523809,0.022039891168540073,0.8685176305254192,0.021245924264981637,0.879624497028049,0.0
KG-GCN,0.8803571428571427,0.0030929478706586983,0.881188057012908,0.0028182179045347523,0.8907601172578001,0.01267042648748884
