model,accuracy_mean,accuracy_std,macro_precision_mean,macro_recall_mean,macro_f1_mean,macro_f1_std
AE,0.8452380952380952,0.021601,0.848827,0.8452380952380952,0.843064,0.021521
CNN,0.8684523809523809,0.022039891168540073,0.873468,0.8684523809523809,0.8685176305254192,0.021245924264981637
KG-GCN,0.8803571428571427,0.0030929478706586983,0.886405,0.8803571428571427,0.881188057012908,0.0028182179045347523
