graph,seed,accuracy,macro_f1
KG,123,0.8785714285714286,0.8799159177666471
KG,101,0.8839285714285714,0.8844180808494031
KG,202,0.8785714285714286,0.8792301724226738
Identity,123,0.8625,0.8635990251753173
Identity,101,0.8714285714285714,0.8718117317776584
Identity,202,0.8678571428571429,0.867926374005325
Corr,123,0.8589285714285714,0.8607938770658982
Corr,101,0.8767857142857143,0.8770960717707994
Corr,202,0.8821428571428571,0.8819878143736095
