model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,val_f1_mean,delta_vs_scratch
KG-MaskPretrain,0.966667,0.002728,0.966682,0.002685,0.968199,0.021858
KG-Scratch,0.944643,0.009449,0.944823,0.009345,0.934764,0.000000
