epoch,train_loss,val_loss,lr
1,1.2578285744947135,1.57393164939532,0.001
2,1.067147827868274,1.4017566783243118,0.001
3,0.9176039510327311,1.253405731780344,0.001
4,0.8010413919908675,1.1146592808640712,0.001
5,0.7012105808275507,0.9910422121553116,0.001
6,0.6150621689467505,0.8761589295243564,0.001
7,0.5396081860852918,0.7718102175351147,0.001
8,0.47362294918555026,0.6772629477662039,0.001
9,0.4154737035506162,0.5925416027574234,0.001
10,0.36467511195277036,0.5182408314317328,0.001
11,0.3215526205786629,0.45687683973138193,0.001
12,0.28705310437075066,0.4065806386133307,0.001
13,0.2591685872501118,0.36588931426610033,0.001
14,0.23668341367264353,0.3329987755649166,0.001
15,0.217967657571742,0.30627528548784994,0.001
16,0.20188161456737622,0.28510527648882233,0.001
17,0.18870096590305183,0.26843158110091675,0.001
18,0.1776237451392145,0.25155094633363695,0.001
19,0.1688573293776438,0.23913121288769865,0.001
20,0.1610517707011728,0.22779387872513027,0.001
21,0.15450931733775772,0.21746412248916278,0.001
22,0.1495492386905185,0.2094341464238624,0.001
23,0.14456742530226815,0.20178215351278925,0.001
24,0.1401531988889497,0.195355902414888,0.001
25,0.13713932586774188,0.18893885541724287,0.001
26,0.13367492415876642,0.1859434128351952,0.001
27,0.13121415601066788,0.17901368331691445,0.001
28,0.12815751260775332,0.17726197738081353,0.001
29,0.12583547145509982,0.1716503069553201,0.001
30,0.12362628541239226,0.16952075530949248,0.001
31,0.12195354347668541,0.16597374636832982,0.001
32,0.12007564863859789,0.16309024884820528,0.001
33,0.11760680924859052,0.15994914179523242,0.001
34,0.11659882972928655,0.158224910742616,0.001
35,0.11490381659031569,0.15500838644972675,0.001
36,0.11322370637123015,0.15386104956609473,0.001
37,0.11209027568681024,0.15211031126649413,0.001
38,0.1107446804833543,0.14924162770515162,0.001
39,0.10896914613868594,0.14798108374691446,0.001
40,0.10810196427636919,0.14624285213479168,0.001
41,0.10687069345371285,0.14341817073626062,0.001
42,0.1057438794710935,0.14275076969029152,0.001
43,0.10457946345114642,0.1409416830703004,0.001
