epoch,full_train_loss,lr
1,1.241027514209733,0.001
2,1.019980434463252,0.001
3,0.8536275608774573,0.001
4,0.725171717198469,0.001
5,0.6156998365057074,0.001
6,0.5241011172283088,0.001
7,0.44584318673268253,0.001
8,0.37871355110312754,0.001
9,0.3243076756398037,0.001
10,0.2807545223258205,0.001
11,0.24788247368099753,0.001
12,0.22195155180469858,0.001
13,0.20233837000561025,0.001
14,0.18632829552643826,0.001
15,0.17369945908873705,0.001
16,0.16260986927426896,0.001
17,0.15345921403077145,0.001
18,0.14626216093158834,0.001
19,0.1398996258753713,0.001
20,0.13512678573786138,0.001
21,0.13106905878926411,0.001
22,0.12762423325715241,0.001
23,0.12430587932445326,0.001
24,0.12137068856416704,0.001
25,0.11874244750453898,0.001
26,0.11649130028011147,0.001
27,0.11397095324114082,0.001
28,0.11191339247202306,0.001
29,0.11006308053724127,0.001
30,0.10835296973777118,0.001
31,0.10685291977284658,0.001
32,0.10526953712805535,0.001
33,0.10328655311883636,0.001
34,0.10189832265782572,0.001
35,0.10052856146027961,0.001
36,0.0993747035470389,0.001
37,0.09769414916759533,0.001
38,0.09699422600221834,0.001
39,0.09550200443208406,0.001
40,0.09449688288427859,0.001
41,0.09325252910558135,0.001
42,0.09239045192464489,0.001
43,0.09096795873919811,0.001
44,0.08986454634868281,0.001
45,0.08891989509196976,0.001
46,0.08817815741683255,0.001
47,0.08730318646294595,0.001
48,0.08616037117492052,0.001
49,0.08497667395761961,0.001
50,0.08439994501100875,0.001
51,0.08314162092138005,0.001
52,0.0824387428932645,0.001
53,0.08140008353498328,0.001
54,0.08069802500705467,0.001
55,0.07979062802173768,0.001
56,0.07873155787461511,0.001
57,0.07801748436766609,0.001
58,0.07749363380684578,0.001
59,0.07646247006789479,0.001
60,0.07584330947839538,0.001
61,0.07500359231101336,0.001
62,0.0744632195426193,0.001
63,0.07364831844589446,0.001
64,0.07274244424779672,0.001
65,0.07210428452096203,0.001
66,0.07162892582839661,0.001
67,0.07098949111770098,0.001
68,0.07060772845012352,0.001
69,0.06975150301450785,0.001
70,0.06928625130890252,0.001
71,0.06877045963379143,0.001
72,0.06834206391506373,0.001
73,0.06784861831144276,0.001
74,0.06706134564535239,0.001
75,0.0669088218679618,0.001
76,0.06658115982072886,0.001
77,0.06611164397736262,0.001
78,0.06590271046321618,0.001
79,0.06488062018464434,0.001
80,0.06442469868316666,0.001
81,0.06415140347283241,0.001
82,0.0642638158174643,0.001
83,0.0632703924601536,0.001
84,0.06327172413186745,0.001
85,0.06346625419957466,0.001
86,0.06290191327614768,0.001
87,0.06249546168822851,0.001
88,0.06203134592646611,0.001
89,0.0616246967322389,0.001
90,0.0611678105524554,0.001
91,0.061327722277568476,0.001
92,0.06130505572205861,0.001
93,0.06040505827628988,0.001
94,0.06024032350613478,0.001
95,0.060093944269333996,0.001
96,0.05983288360710197,0.001
97,0.05951976211357494,0.001
98,0.05929704641919009,0.001
99,0.05897655464572083,0.001
100,0.05880054042722977,0.001
101,0.058192270293192655,0.001
102,0.05819148235245216,0.001
103,0.05800877389396514,0.001
104,0.05804738608054014,0.001
105,0.05747334116400235,0.001
106,0.057472498691376356,0.001
107,0.056907831297023155,0.001
108,0.056947032255433114,0.001
109,0.05702882405685377,0.001
110,0.05638886165183634,0.001
111,0.05605365336043473,0.001
112,0.056101057711492285,0.001
113,0.05577162318715718,0.001
114,0.05565662894690573,0.001
115,0.05577538750553066,0.001
116,0.05526610063218041,0.001
117,0.05523120117297763,0.001
118,0.05489522073809594,0.001
119,0.05476627595855992,0.001
120,0.054769012915865806,0.001
121,0.05453716610487267,0.001
122,0.054140052403561276,0.001
123,0.0543791320945462,0.001
124,0.05372444371053899,0.001
125,0.05377579997067094,0.001
126,0.05348976226146597,0.001
127,0.05359411748679209,0.001
128,0.05344367220183267,0.001
129,0.05300820430309052,0.001
130,0.052765389855726916,0.001
131,0.05332983305364954,0.001
132,0.05296423937033554,0.001
133,0.052472032738471154,0.001
134,0.05218076970327006,0.001
135,0.05209471379541706,0.001
136,0.05194389657318019,0.001
137,0.05229483915559253,0.001
138,0.05222546958696071,0.001
139,0.05235461580680862,0.001
140,0.051795574132199915,0.001
141,0.051599661860819414,0.001
142,0.05129097939253047,0.001
143,0.05094741649450502,0.001
144,0.05072044507969861,0.001
145,0.05095236737313179,0.001
146,0.050572703697425676,0.001
147,0.050530694184012286,0.001
148,0.05053293338178411,0.001
149,0.05016718289217412,0.001
150,0.05000861340390895,0.001
151,0.0498873384408451,0.001
152,0.050114686258356696,0.001
153,0.04998639328662998,0.001
154,0.04990989905360747,0.001
155,0.049760584966979035,0.001
156,0.04956288506500398,0.001
157,0.04940925638876438,0.001
158,0.04944873915905586,0.001
159,0.049064773998444736,0.001
160,0.04920568740680971,0.001
161,0.04893853677690701,0.001
162,0.04871602203511293,0.001
163,0.04885101704909642,0.001
164,0.048626163752252434,0.001
165,0.04838503142827109,0.001
166,0.04837819443837569,0.001
167,0.048315036548392455,0.001
168,0.04835118643905272,0.001
169,0.04810942955766823,0.001
170,0.04806478429942313,0.001
171,0.04786523236306366,0.001
172,0.04780448013375385,0.001
173,0.047689597026406176,0.001
174,0.047584995920342404,0.001
175,0.04753147757983834,0.001
176,0.047281762026024764,0.001
177,0.04726840002088666,0.001
178,0.04730829756312196,0.001
179,0.047122132312257425,0.001
180,0.047102264043727526,0.001
181,0.04685741403879946,0.001
182,0.046857645302801856,0.001
183,0.046430159376941366,0.001
184,0.04671608354077252,0.001
185,0.04667148765081783,0.001
186,0.0463932972929965,0.001
187,0.04651903859138211,0.001
188,0.046281279808278904,0.001
189,0.04619863890841028,0.001
190,0.04611433798201603,0.001
191,0.04603753917145853,0.001
192,0.04637194295024335,0.001
193,0.04600287467132659,0.001
194,0.045910898207506,0.001
195,0.04579573081595898,0.001
196,0.04549465984550112,0.001
197,0.045535252974666277,0.001
198,0.0454044519244934,0.001
199,0.04538257210221202,0.001
200,0.04501679742056223,0.001
201,0.04498660147216314,0.001
202,0.04503898164917818,0.0005
203,0.04494456151614974,0.0005
204,0.04488084197363447,0.0005
205,0.04476569785087093,0.0005
206,0.044642935135206854,0.0005
207,0.044599347042394905,0.0005
208,0.04478880531350185,0.0005
209,0.04458025652720202,0.0005
210,0.04448956749421886,0.0005
211,0.04439440243150976,0.0005
212,0.04458580253395788,0.0005
213,0.044451102058150414,0.0005
214,0.044435166370074844,0.0005
215,0.04423121373940654,0.0005
216,0.04445560430784505,0.0005
217,0.04446843306235243,0.0005
218,0.04422535340384334,0.00025
219,0.04423502330789605,0.00025
220,0.04434274332551242,0.00025
221,0.044169712484631383,0.00025
222,0.04416416437588182,0.00025
223,0.04406595042292879,0.00025
224,0.04414976998740011,0.00025
225,0.04399724791954481,0.00025
226,0.04418668609303452,0.00025
227,0.04404231280727936,0.00025
228,0.044037344514565625,0.00025
229,0.04393919497127657,0.00025
230,0.04399039768881721,0.00025
231,0.04395633973394929,0.00025
232,0.04388406410789154,0.00025
233,0.0438700619318047,0.00025
234,0.04400848993015626,0.00025
235,0.04380877897730434,0.00025
236,0.043861374686953516,0.00025
237,0.04370640735604944,0.00025
238,0.04376338389377895,0.00025
239,0.0438071997092732,0.00025
240,0.04364992358060679,0.00025
241,0.0436289554169451,0.00025
242,0.043641455898367404,0.00025
243,0.0436855519078099,0.00025
244,0.043727378180000366,0.00025
245,0.04383445747177775,0.00025
246,0.043659179484522206,0.00025
247,0.04360033758346449,0.000125
248,0.04343232337187314,0.000125
