,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,132,8,4,0
F1_H1换热能力下降,10,129,5,0
F2_H1汽侧泄漏,6,1,137,0
F3_H1水位过高,2,1,0,141
