,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,132,8,4,0
F1_H1换热能力下降,95,45,3,1
F2_H1汽侧泄漏,103,4,37,0
F3_H1水位过高,91,9,1,43
