,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,132,8,3,1
F1_H1换热能力下降,91,50,2,1
F2_H1汽侧泄漏,109,6,29,0
F3_H1水位过高,101,5,0,38
