,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,133,7,4,0
F1_H1换热能力下降,10,131,3,0
F2_H1汽侧泄漏,5,0,139,0
F3_H1水位过高,2,0,0,142
