stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9739836380036635,13,0.555111825466156,0.9878472222222222,0.9878700067056232,0.9878472222222222,0.9878409227442028
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9739836380036635,13,0.555111825466156,0.9322916666666666,0.9411344803285461,0.9322916666666666,0.9335513248319259
final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9739836380036635,13,0.555111825466156,0.3767361111111111,0.69120148995149,0.3767361111111111,0.3291568733384787
