,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,2,4,0
F1_L6换热能力下降,1,143,0,0
F2_L6汽侧供汽不足,3,1,140,0
F3_L6水位过高,1,0,0,143
