,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,141,1,2,0
F1_L6换热能力下降,108,22,13,1
F2_L6汽侧供汽不足,118,1,25,0
F3_L6水位过高,114,1,0,29
