stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.973992229237494,5,0.550390899181366,0.9809027777777778,0.981217547596858,0.9809027777777777,0.9809603263685949
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.973992229237494,5,0.550390899181366,0.9461805555555556,0.9507412802298667,0.9461805555555555,0.9468752510948392
final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.973992229237494,5,0.550390899181366,0.3715277777777778,0.6943534222255798,0.37152777777777773,0.322076625268276
