stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.980913876131691,21,0.03240302577614784,0.9774305555555556,0.9778638497652583,0.9774305555555556,0.9775105846534418
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.980913876131691,21,0.03240302577614784,0.8454861111111112,0.8786067454274433,0.845486111111111,0.8483253873219783
final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.980913876131691,21,0.03240302577614784,0.3663194444444444,0.6025045436000148,0.3663194444444445,0.3132114682742378
