,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,133,3,0,8
F1_CND1真空恶化,114,15,0,15
F2_CND1循环水不足,91,3,26,24
F3_CND1热井液位过高,100,4,0,40
