,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,140,3,0,1
F1_CND1真空恶化,113,22,0,9
F2_CND1循环水不足,98,3,32,11
F3_CND1热井液位过高,122,5,0,17
