,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,140,3,0,1
F1_CND1真空恶化,13,128,2,1
F2_CND1循环水不足,17,13,114,0
F3_CND1热井液位过高,36,3,0,105
