,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,132,8,2,2
F1_H1换热能力下降,6,136,1,1
F2_H1汽侧泄漏,8,1,135,0
F3_H1水位过高,0,1,0,143
