,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,132,8,2,2
F1_H1换热能力下降,83,56,3,2
F2_H1汽侧泄漏,98,7,39,0
F3_H1水位过高,82,5,0,57
