,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,138,4,2,0
F1_H1换热能力下降,102,40,2,0
F2_H1汽侧泄漏,103,3,38,0
F3_H1水位过高,106,3,0,35
