stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9688974875156631,6,,0.9548611111111112,0.9571027821380442,0.9548611111111112,0.9553274399987448
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9688974875156631,6,,0.9496527777777778,0.9524619318215841,0.9496527777777778,0.950230596852138
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9688974875156631,6,,0.4357638888888889,0.7530278926715452,0.4357638888888889,0.41936618848390644
