,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,134,7,2,1
F1_H1换热能力下降,83,57,3,1
F2_H1汽侧泄漏,105,6,33,0
F3_H1水位过高,84,10,0,50
