stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9723042502389454,9,,0.9479166666666666,0.9483323406789755,0.9479166666666667,0.9479823917828321
final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9723042502389454,9,,0.9392361111111112,0.9407046983747446,0.939236111111111,0.9396461118511878
final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9723042502389454,9,,0.4930555555555556,0.7229522965812161,0.4930555555555555,0.4924695013637856
