,F0_normal,F1_H1换热能力下降,F2_H1汽侧泄漏,F3_H1水位过高
F0_normal,134,7,2,1
F1_H1换热能力下降,11,132,1,0
F2_H1汽侧泄漏,11,2,131,0
F3_H1水位过高,0,2,0,142
