stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9757209041822934,9,0.551264762878418,0.9826388888888888,0.9828700052047282,0.9826388888888888,0.9825865921600552
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9757209041822934,9,0.551264762878418,0.9548611111111112,0.9566677110998378,0.954861111111111,0.9553069315740331
final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9757209041822934,9,0.551264762878418,0.4149305555555556,0.6801563277012571,0.4149305555555556,0.3880409419094405
