,F0_normal,F1_L6换热能力下降,F2_L6汽侧供汽不足,F3_L6水位过高
F0_normal,138,2,4,0
F1_L6换热能力下降,99,35,9,1
F2_L6汽侧供汽不足,115,3,26,0
F3_L6水位过高,95,6,0,43
