,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,142,1,0,1
F1_CND1真空恶化,1,142,1,0
F2_CND1循环水不足,1,22,119,2
F3_CND1热井液位过高,3,0,2,139
