,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,5,0,1
F1_CND1真空恶化,0,144,0,0
F2_CND1循环水不足,1,32,110,1
F3_CND1热井液位过高,1,5,1,137
