stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9965277777777777,40,,0.9878472222222222,0.9878590279452348,0.9878472222222222,0.9878471594280945
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9965277777777777,40,,0.9409722222222222,0.9452188826665193,0.9409722222222222,0.940450920612013
final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9965277777777777,40,,0.3715277777777778,0.6191577625141513,0.37152777777777773,0.3097336189213642
