,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,5,0,1
F1_CND1真空恶化,89,42,0,13
F2_CND1循环水不足,94,11,16,23
F3_CND1热井液位过高,96,6,0,42
