,F0_normal,F1_CND1真空恶化,F2_CND1循环水不足,F3_CND1热井液位过高
F0_normal,138,3,0,3
F1_CND1真空恶化,97,38,1,8
F2_CND1循环水不足,93,8,26,17
F3_CND1热井液位过高,105,4,0,35
